Date,Activity,Route number,Name,Elapsed seconds,Distance (km),Pace,Weight,Steps,Notes
2017-12-10,,234220,Upper Reservoir Park,1324,4.62,4.78,153,,"35F, sunny."
2017-12-07,,562270,no lights local loop,1059,3.61,4.90,,,"35F, Sunny, careful lots of black ice!"
2017-12-05,,653902,45th to 65th loop,879,3.08,4.75,155,,"33F, Sunny"
2017-12-03,,143117,Greenlake 5k,1432,5.01,4.76,155,,"40F, cloudy. Pacer."
2017-12-01,,143116,Greenlake 3k,1072,3.90,4.58,153,,"48F, dry, strong start 3:45 to 65th."
2017-11-29,,143114,Reservoir Basic,957,3.40,4.69,154,,"44F, cloudy."
2017-11-27,,562270,no lights local loop,1057,3.61,4.89,,,"44F, dry. "
2017-11-25,,242812,Greenlake out-and-back 5k,1385,4.90,4.71,153,,"50F, Dry
"
2017-11-23,,143116,Greenlake 3k,1081,3.90,4.62,152,,"50F, rain."
2017-11-18,,234220,Upper Reservoir Park,1290,4.62,4.66,151,,meh./good pause at top.
2017-11-16,,143114,Reservoir Basic,1036,3.40,5.08,151,,took easy. 3 sprints.
2017-11-14,,143114,Reservoir Basic,949,3.40,4.65,,,"solid, strong start. more caf?"
2017-11-12,,653902,45th to 65th loop,934,3.08,5.05,153,,run/map slightly off. 
2017-11-10,,143116,Greenlake 3k,1082,3.90,4.62,151,,"42F, strong start. 3:40 to 65th. good pacer at start.
"
2017-11-06,,562270,no lights local loop,1055,3.61,4.88,,,"40F, partly cloudy. good VdO2
"
2017-11-04,,274992,Pettis Loop2 (Mtn View),966,3.51,4.59,,,"Nostalgia!  60F, misty"
2017-10-31,,143114,Reservoir Basic,949,3.40,4.65,,,"40F, clear, strong, 9:01 to top."
2017-10-28,,143116,Greenlake 3k,1080,3.90,4.61,,,"48F, foggy, timing estimated"
2017-10-24,,562270,no lights local loop,1030,3.61,4.76,,,"50F, sunny, strong"
2017-10-22,,566398,Dawg Dash Oct16,1447,5.00,4.82,152,,"Sunny 56F.   Won division!! 1/45
"
2017-10-20,,653902,45th to 65th loop,,3.08,,,,untimed. fun-run pre-race
2017-10-18,,143117,Greenlake 5k,1405,5.01,4.67,150,,Strong. PR!. 52F. Training Dawg Dash
2017-10-16,,143114,Reservoir Basic,993,3.40,4.87,150,,"45F, consolidation, slow start."
2017-10-14,,143116,Greenlake 3k,1094,3.90,4.67,150,,40F consolidation
2017-10-12,,143114,Reservoir Basic,954,3.40,4.67,151,,"50F, cloudy."
2017-10-10,,242812,Greenlake out-and-back 5k,1434,4.90,4.88,151,,"48F, consolidation, took easy"
2017-10-08,,143118,Reservoir 5k,1455,4.98,4.87,153,,"50F, partly cldy, strong start."
2017-10-06,,143114,Reservoir Basic,952,3.40,4.66,,,"46F, Sunny, Strong, watch issue?"
2017-10-04,,143116,Greenlake 3k,1085,3.90,4.64,,,"50F, sunny"
2017-10-02,,,,1126,,,155,,Walla Walla
2017-09-30,,,,1116,,,,,Walla Walla
2017-09-28,,143116,Greenlake 3k,1084,3.90,4.63,152,,"Strong, sunny. 54F"
2017-09-25,,,,900,2.90,5.18,,,Fairmont Vancouver Treadmill
2017-09-22,,234220,Upper Reservoir Park,1325,4.62,4.78,,,"Meh. 54F, 152"
2017-09-20,,562270,no lights local loop,1047,3.61,4.84,151,,felt strong. 50F. cloudy
2017-09-16,,434659,Cowen Park Ravine,1093,3.90,4.67,156,,big bkfst. smokey. 64F (modif route)
2017-09-14,,143116,Greenlake 3k,1091,3.90,4.66,152,,Strong. Sunny. 56F
2017-09-12,,143116,Greenlake 3k,1141,3.90,4.88,152,,Consolidation. 65F sunny
2017-09-10,,644636,Spirit of Belleview 2017,1492,5.15,4.83,,,65F. fast start. (Official time)
2017-09-07,,562270,no lights local loop,1049,3.61,4.85,153,,"consolidation, strong finish, 63F"
2017-09-05,,143114,Reservoir Basic,1002,3.40,4.91,154,,Consolidation. 67F. Smokey
2017-09-02,,242812,Greenlake out-and-back 5k,1387,4.90,4.72,,,Strong start. 70F sunny.
2017-08-31,,,,1067,3.70,4.81,,,Went off no-lights route. Rain 65F
2017-08-29,,143114,Reservoir Basic,960,3.40,4.70,152,,Strong.  65F
2017-08-27,,143117,Greenlake 5k,1429,5.01,4.75,153,,solid.  62F (flat shoes)
2017-08-25,,242812,Greenlake out-and-back 5k,1417,4.90,4.82,,,slow start. 55F
2017-08-23,,143118,Reservoir 5k,1437,4.98,4.81,,,OK - medium effort.
2017-08-20,,234220,Upper Reservoir Park,1285,4.62,4.64,,,OK effort. lots of stops. 7:05 to sign. New Timex!  PR
2017-08-18,,143116,Greenlake 3k,1080,3.90,4.61,,,Felt good. 
2017-08-16,,143114,Reservoir Basic,,3.40,,157,,Watch died at end.  Great splits.
2017-08-14,,143114,Reservoir Basic,997,3.40,4.88,,,start lo mo.  60F
2017-08-12,,562270,no lights local loop,1054,3.61,4.87,156,,"59F, cloudy. strong start."
2017-08-10,,143116,Greenlake 3k,1091,3.90,4.66,,,"Smokey, 3:55 to 65th."
2017-08-07,,,,1472,,,,,Castle Road / Brule
2017-08-05,,,,1140,,,,,"Winnebojou Club
"
2017-08-03,,,,1389,,,,,Winnebojou Club
2017-08-01,,562270,no lights local loop,1059,3.61,4.90,,,Sunny.
2017-07-29,,340040,Greenlake out & around,1794,6.21,4.81,155,,Solid. Sunny 65F. PR!
2017-07-27,,562270,no lights local loop,1069,3.61,4.94,,,decent. misty. 
2017-07-25,,143116,Greenlake 3k,1104,3.90,4.72,,,took easy. lower back. 
2017-07-23,,143114,Reservoir Basic,1030,3.40,5.05,155,,took it slow. sore lower back.
2017-07-20,,143116,Greenlake 3k,1084,3.90,4.63,,,Anger on start. strong start. 63F
2017-07-17,,,,1100,,,,,Tofino BC
2017-07-15,,,,1590,,,,,Ucluelet BC
2017-07-12,,,,1010,,,,,Pasadena/ Colorado Ave. Sluggish - pre-coffee/bkfst
2017-07-09,,242812,Greenlake out-and-back 5k,1418,4.90,4.82,155,,big bkfst. 65F. Sunny
2017-07-07,,562270,no lights local loop,1097,3.61,5.07,,,"slow start, stiff from major lab cleanout! 60F"
2017-07-04,,340040,Greenlake out & around,1891,6.21,5.07,156,,"low Vd02, longer time. 65F sunny"
2017-07-02,bike,,,5760,31.54,3.04,,,Redmond to Home.
2017-07-01,,143114,Reservoir Basic,970,3.40,4.75,,,Avg. 60F. Sunny. 1:00pm
2017-06-29,,562270,no lights local loop,1060,3.61,4.90,157,,"consolidation / ""victory lap"" / 60F"
2017-06-27,,143116,Greenlake 3k,1066,3.90,4.55,160,,strong start. 65F  PR - ever!
2017-06-24,,234220,Upper Reservoir Park,1349,4.62,4.87,,,"meh start. 72F, sunny"
2017-06-22,,143116,Greenlake 3k,1093,3.90,4.67,157,,good start. 3:55 to65th.  55F sunny.
2017-06-19,,,,1048,,,,,Random Trail run/ Encinitas
2017-06-17,,358344,Rihely Pl / Encinitas,1084,3.41,5.30,,,Hot!
2017-06-15,,143117,Greenlake 5k,1489,5.01,4.95,157,,Consolidation. 56F
2017-06-13,,143116,Greenlake 3k,1116,3.90,4.77,,,meh.  51F
2017-06-11,,562270,no lights local loop,1073,3.61,4.96,,,"OK, 66F, 2:00pm"
2017-06-09,,143116,Greenlake 3k,1133,3.90,4.84,,,Consolidation. Strong.
2017-06-06,,143114,Reservoir Basic,963,3.40,4.72,,,strong start. 58F. 3:07 to 65th.
2017-06-03,,562270,no lights local loop,1061,3.61,4.90,,,Decent.  58F
2017-06-01,,143116,Greenlake 3k,1095,3.90,4.68,156,,Strong start. 3:51 to 65th. 55F
2017-05-30,,143114,Reservoir Basic,1033,3.40,5.06,,,weak start. tight legs and core. 55F
2017-05-28,,242812,Greenlake out-and-back 5k,1439,4.90,4.89,,,Consolidation.  70F
2017-05-26,,562270,no lights local loop,1033,3.61,4.77,157,,"strong start. strong Vd02, 60F"
2017-05-24,,143114,Reservoir Basic,986,3.40,4.83,,,slow start. decent push. 7:03 to sign. 52F
2017-05-21,,242812,Greenlake out-and-back 5k,1522,4.90,5.18,,,consolidation. still headcold. 60F
2017-05-16,,143114,Reservoir Basic,987,3.40,4.84,,,Meh start.  Strong finish. 43F
2017-05-14,,562270,no lights local loop,1088,3.61,5.03,,,"Relaxed, Strong, 50F"
2017-05-12,,143118,Reservoir 5k,1480,4.98,4.95,,,Strong. 50F
2017-05-10,,143116,Greenlake 3k,1099,3.90,4.70,,,after break.  53F
2017-05-01,,,,1200,,,155,,"National Mall, 73F"
2017-04-29,,,,1200,,,,,"Treadmill, DC"
2017-04-27,,,,1086,,,,,National Mall!  78F
2017-04-25,,,,1109,,,,,"Golden Co, 6000 ft.
"
2017-04-23,,143114,Reservoir Basic,995,3.40,4.88,157,,low mo.  felt strong. 50F cloudy
2017-04-21,,143116,Greenlake 3k,1113,3.90,4.76,155,,Consolidation.  3 sprints at lake.  50F Sunny.
2017-04-19,,143114,Reservoir Basic,995,3.40,4.88,,,lo mo. 48F
2017-04-17,,562270,no lights local loop,1093,3.61,5.05,160,,back from B-day trip
2017-04-11,,143116,Greenlake 3k,1133,3.90,4.84,,,big bkfst. 45F sunny.
2017-04-09,,143116,Greenlake 3k,1134,3.90,4.85,158,,"46F, avg."
2017-04-07,,562270,no lights local loop,1076,3.61,4.97,,,"48F, average day"
2017-04-04,,143114,Reservoir Basic,977,3.40,4.79,157,,"46F, lo mo"
2017-04-02,,143117,Greenlake 5k,1460,5.01,4.86,,,"48F, sunny, just do it."
2017-03-31,,143114,Reservoir Basic,964,3.40,4.72,,,"felt slow start. 3:06 to 65th. 7:00 to sign. 43F
"
2017-03-29,,562270,no lights local loop,1085,3.61,5.02,157,,consolidation. miserable. 47F rainy.
2017-03-27,,143114,Reservoir Basic,998,3.40,4.89,,,"3:05 to 65th, 48F, consolidation"
2017-03-25,,143116,Greenlake 3k,1145,3.90,4.89,158,,"Consolidation. 50F Sunny, noon run."
2017-03-23,,143114,Reservoir Basic,944,3.40,4.63,,,strong start.   PR!!!
2017-03-21,,562270,no lights local loop,1077,3.61,4.98,160,,"48F, slow start, good push later. "
2017-03-19,,143116,Greenlake 3k,1100,3.90,4.70,,,extra caf. 35F sunny. a bit hung over!
2017-03-17,,562270,no lights local loop,1055,3.61,4.88,160,,"heavy bkfst. 40F, clear. PR"
2017-03-15,,143114,Reservoir Basic,983,3.40,4.82,,,"Meh, 49F, WET"
2017-03-10,,143114,Reservoir Basic,1020,3.40,5.00,,,consolidation 50F
2017-03-08,,143114,Reservoir Basic,960,3.40,4.70,,,"strong start, 2:56 to 65th, good vd02"
2017-03-06,,562270,no lights local loop,1079,3.61,4.99,160,,good start. good push. 35F
2017-03-04,,242812,Greenlake out-and-back 5k,1430,4.90,4.86,,,"Good Mo. 38F, sunny. 3:44 to 65th"
2017-03-02,,143114,Reservoir Basic,993,3.40,4.87,,,Decent 45F
2017-02-26,,562270,no lights local loop,1074,3.61,4.96,,,lo mo. 37F. good push later.
2017-02-24,,143116,Greenlake 3k,1118,3.90,4.78,,,35F
2017-02-22,,562270,no lights local loop,1091,3.61,5.04,161,,"avg motiv. 37F
"
2017-02-20,,143114,Reservoir Basic,1060,3.40,5.19,,,Consolidation. 45F
2017-02-18,,242812,Greenlake out-and-back 5k,1417,4.90,4.82,,,strong start. 3:48 to 65th.   45F
2017-02-14,,143116,Greenlake 3k,1125,3.90,4.81,165,,average. 37F sunny.
2017-02-10,,562270,no lights local loop,1079,3.61,4.99,,,lo mo. late push.
2017-02-08,,143114,Reservoir Basic,968,3.40,4.74,,,strong start. good push. 35F
2017-02-04,,234220,Upper Reservoir Park,1392,4.62,5.02,,,lo mo.  44F wet.
2017-02-02,,562270,no lights local loop,1094,3.61,5.06,163,,Strong.  27F. Sunny
2017-01-31,,,,1113,3.31,5.60,,,Moloaa beach to turn.
2017-01-29,,,,2003,6.16,5.42,,,Moloaa beach to hwy 56 rt.
2017-01-26,,562270,no lights local loop,1104,3.61,5.10,,,"Decent effort. 42F
"
2017-01-24,,143116,Greenlake 3k,1117,3.90,4.77,,,good start. 3:55 to 65th
2017-01-21,,143114,Reservoir Basic,1014,3.40,4.97,,,Long break.
2017-01-16,,143116,Greenlake 3k,1160,3.90,4.96,,,"good start. cold 31F, lo mo."
2017-01-14,,562270,no lights local loop,1106,3.61,5.11,163,,"33F, sunny.   Week off for headcold."
2017-01-08,,143116,Greenlake 3k,1175,3.90,5.02,,,"39F, head cold day 3"
2017-01-04,,143116,Greenlake 3k,1108,3.90,4.73,,,strong start. 3:55 to 65th. 27F sunny
2017-01-02,,143114,Reservoir Basic,1015,3.40,4.97,,,"9:30AM, legs heavy. 33F"
2016-12-31,,562270,no lights local loop,1110,3.61,5.13,,,Slow start. 35F
2016-12-29,,143114,Reservoir Basic,992,3.40,4.86,,,"Ski Trip!;  lo mo.
"
2016-12-25,,143116,Greenlake 3k,1106,3.90,4.73,,,good start.   Santa Hat!
2016-12-23,,143114,Reservoir Basic,981,3.40,4.81,,,37F wet.  gloppy snowflakes stuck to clothes!
2016-12-21,,562270,no lights local loop,1094,3.61,5.06,,,38f but nice.
2016-12-19,,143116,Greenlake 3k,1141,3.90,4.88,,,windy 38F no rain.
2016-12-17,,562270,no lights local loop,1076,3.61,4.97,,,Brrr.  28F
2016-12-14,,143114,Reservoir Basic,984,3.40,4.82,,,Brrrr. 30F. 3:11 to 65th
2016-12-11,,562270,no lights local loop,1075,3.61,4.97,,,Decent start. (snow break)
2016-12-06,,143114,Reservoir Basic,1015,3.40,4.97,,,frosty slippery. 37F
2016-12-04,,143118,Reservoir 5k,1510,4.98,5.05,168,,avg. sunny
2016-12-01,,562270,no lights local loop,1087,3.61,5.02,,,lo mo. good start.
2016-11-29,,143116,Greenlake 3k,1156,3.90,4.94,,,"consolidation, lo mo, but strong."
2016-11-27,,143114,Reservoir Basic,979,3.40,4.80,,,Good push.
2016-11-25,,143116,Greenlake 3k,1166,3.90,4.98,167,,"Carrying around Thanksgiving dinner!
"
2016-11-23,,562270,no lights local loop,1086,3.61,5.02,164,,
2016-11-21,,242812,Greenlake out-and-back 5k,1433,4.90,4.87,,,strong start. 3:55 to 65th
2016-11-18,,562270,no lights local loop,1088,3.61,5.03,,,Consolidation
2016-11-16,,143116,Greenlake 3k,1190,3.90,5.08,,,"Consolidation run. One sprint.
"
2016-11-14,,143114,Reservoir Basic,984,3.40,4.82,,,Strong. good vdO2
2016-11-12,,562270,no lights local loop,1072,3.61,4.96,,,wet but not raining
2016-11-10,,143116,Greenlake 3k,1097,3.90,4.69,,,strong start. 4 lights.
2016-11-08,,562270,no lights local loop,1062,3.61,4.91,164,,Strong. Sunny
2016-11-06,,143116,Greenlake 3k,1125,3.90,4.81,,,"strong, sunny"
2016-11-03,,562270,no lights local loop,1075,3.61,4.97,,,"CUBS WIN!!
"
2016-11-01,,143114,Reservoir Basic,1029,3.40,5.04,,,Back still weak but better. Rainy.
2016-10-30,,143116,Greenlake 3k,,3.90,,,,Slow. back still weak. 
2016-10-27,,562270,no lights local loop,1201,3.61,5.55,,,twitched back on start. Slow start. took easy.
2016-10-25,,143116,Greenlake 3k,1161,3.90,4.96,,,Consolidation
2016-10-23,,566398,Dawg Dash Oct16,1457,5.00,4.86,,,"The main event! tough! (official time)  #2 in 61-70, #4 in 51-60(!)"
2016-10-21,,143116,Greenlake 3k,1156,3.90,4.94,162,,"consolidation. Enjoyed it.
"
2016-10-19,,143114,Reservoir Basic,1012,3.40,4.96,,,"Consolidation, 4 sprints."
2016-10-17,,143116,Greenlake 3k,1171,3.90,5.00,,,Consolidation. w/ Sprints.
2016-10-15,,566398,Dawg Dash Oct16,1519,5.00,5.06,,,Initial Run! 
2016-10-12,,562270,no lights local loop,1106,3.61,5.11,,,"sunny, cold."
2016-10-10,,562270,no lights local loop,1133,3.61,5.24,,,new route. consolidation. 
2016-10-08,,143117,Greenlake 5k,1436,5.01,4.78,,,very strong start. 3:37 to 65th. 
2016-10-06,,143114,Reservoir Basic,961,3.40,4.71,,,strong start. 8:45 to top. strong vd02
2016-10-04,,143114,Reservoir Basic,1052,3.40,5.15,,,took it easy. 
2016-10-02,,560790,,1491,5.16,4.82,166,,Oops wrong turn! on GL 5k.  
2016-09-30,,234220,Upper Reservoir Park,1375,4.62,4.96,,,Consolidation. no rest at top!
2016-09-28,,143114,Reservoir Basic,977,3.40,4.79,,,Decent start. good push.
2016-09-26,,143116,Greenlake 3k,1166,3.90,4.98,,,Consolidation. Lo Mo. Sunny cool.
2016-09-24,,242812,Greenlake out-and-back 5k,1424,4.90,4.84,,,Strong start. solid effort. tied PR!
2016-09-20,,143116,Greenlake 3k,1210,3.90,5.17,,,"Consolidation, brisk sunny"
2016-09-16,,457413,MTV Corrected 5k,,4.98,,,,Old times sake!  No watch.
2016-09-14,,143114,Reservoir Basic,973,3.40,4.77,,,"strong, decent start."
2016-09-13,,143116,Greenlake 3k,1219,3.90,5.21,,,"Consolidation. Took it easy. 
"
2016-09-11,,143114,Reservoir Basic,1023,3.40,5.01,,,Consolidation. took partially easy. 4:30PM
2016-09-09,,143116,Greenlake 3k,1104,3.90,4.72,,,strong start. sunny cool. only 2 lights!
2016-09-07,,143114,Reservoir Basic,1006,3.40,4.93,167,,"Decent. 
"
2016-09-01,,143116,Greenlake 3k,1109,3.90,4.74,,,strong start. 3:51 to 65th.  Strong.
2016-08-29,,234220,Upper Reservoir Park,1362,4.62,4.92,,,"Good start. good push at top. started ham stretch.
"
2016-08-27,,143114,Reservoir Basic,1010,3.40,4.95,,,"slow start. r leg sore.
"
2016-08-27,,143114,Reservoir Basic,1010,3.40,4.95,,,OK
2016-08-25,,434659,Cowen Park Ravine,1210,4.10,4.92,,,slow start. full tummy? 
2016-08-23,,143116,Greenlake 3k,1139,3.90,4.87,169,,4:10 to 65th.  R leg felt stiff. warm.
2016-08-19,,143114,Reservoir Basic,1055,3.40,5.17,,,took it easy. Hot.
2016-08-16,,143116,Greenlake 3k,1120,3.90,4.79,167,,good pacer. sunny
2016-08-14,,143114,Reservoir Basic,1010,3.40,4.95,,,inspired by olymp 10k!  Sunny warm.
2016-08-12,,143116,Greenlake 3k,1194,3.90,5.10,,,Took it easy. Nice weather. 
2016-08-10,,143116,Greenlake 3k,,3.90,,,,Strong start. Missed timer start. 
2016-08-08,,143114,Reservoir Basic,1041,3.40,5.10,,,slow start. took it easy.
2016-08-06,,143118,Reservoir 5k,1496,4.98,5.00,,,Strong start. cool.
2016-08-04,,143116,Greenlake 3k,1146,3.90,4.90,,,"OK, nice weather"
2016-08-02,,143114,Reservoir Basic,1035,3.40,5.07,,,a bit groggy.
2016-07-31,,143116,Greenlake 3k,1141,3.90,4.88,,,Took it easy multiple stops - back from Swedish (TIA eval!)
2016-07-26,,434659,Cowen Park Ravine,1179,4.10,4.79,,,
2016-07-24,,143116,Greenlake 3k,1142,3.90,4.88,,,"good start, sunny"
2016-07-22,,143114,Reservoir Basic,1022,3.40,5.01,168,,"Strong - long rest (Scotland Trip)
"
2016-07-10,,,,1126,,,,,"Edinburgh!
"
2016-07-03,,242812,Greenlake out-and-back 5k,1435,4.90,4.88,,,hi caf. good start. almost pr.
2016-07-01,,143114,Reservoir Basic,1006,3.40,4.93,,,"basic effort. 
"
2016-06-29,,143116,Greenlake 3k,1173,3.90,5.01,168,,took it easy.
2016-06-27,,143114,Reservoir Basic,1015,3.40,4.97,,,lo mo. 3:20 to 65th
2016-06-25,,143116,Greenlake 3k,1131,3.90,4.83,,,low caf. good push.
2016-06-22,,143114,Reservoir Basic,1004,3.40,4.92,167,,Strong. 3:15 to 65th
2016-06-20,,358344,Rihely Pl / Encinitas,1138,3.41,5.56,,,
2016-06-18,,358344,Rihely Pl / Encinitas,1120,3.41,5.47,,,
2016-06-15,,143116,Greenlake 3k,1101,3.90,4.70,,,two extra pauses. Intervals!
2016-06-13,,143114,Reservoir Basic,1039,3.40,5.09,,,Took it easy. lo mo.
2016-06-11,,143114,Reservoir Basic,978,3.40,4.79,,,Solid.  Good Vd02. good push.
2016-06-11,,143116,Greenlake 3k,1159,3.90,4.95,164,,"Solid. (4 yrs!!)
"
2016-06-07,,,,1080,,,,,Fisherman's wharf/fort mason SF
2016-06-03,,143116,Greenlake 3k,1120,3.90,4.79,,,"good push, slowish start, good vd02. nice weather"
2016-06-01,,143114,Reservoir Basic,1037,3.40,5.08,,,Took it easy. slowed down. 
2016-05-30,,143116,Greenlake 3k,1142,3.90,4.88,,,sore legs. focus drift. nice weather.
2016-05-28,,340040,Greenlake out & around,1889,6.21,5.07,165,,Consolidation - just get through it!
2016-05-21,,143114,Reservoir Basic,1029,3.40,5.04,166,,good caf. rainy.
2016-05-15,,,,1140,,,,,"Central Park, NYC!
"
2016-05-11,,143116,Greenlake 3k,1126,3.90,4.81,164,,Decent. nice weather.
2016-05-08,,143116,Greenlake 3k,1134,3.90,4.85,,,"Good Vd02, sore legs.
"
2016-05-06,,518719,"Around McGill, Montreal",922,2.82,5.46,,,First time. New route.
2016-05-01,,143116,Greenlake 3k,1129,3.90,4.82,,,Sunny. good Caff. Time APPROX.
2016-04-29,,516669,Sandman Loop Squamish,1065,3.42,5.19,,,First time.  good caff.
2016-04-27,,143114,Reservoir Basic,983,3.40,4.82,,,low sleep. extra (12oz) caff. 
2016-04-25,,143116,Greenlake 3k,1221,3.90,5.22,165,,Took it slow. 
2016-04-23,,143118,Reservoir 5k,1483,4.98,4.96,,,good (12oz) caff. 
2016-04-20,,234220,Upper Reservoir Park,1384,4.62,5.00,164,,hot day. r leg sore. rest at top.
2016-04-18,,143116,Greenlake 3k,1171,3.90,5.00,,,good start. eased on hill.
2016-04-16,,143116,Greenlake 3k,1078,3.90,4.61,,,good push. extra rest stops. 
2016-04-14,,143114,Reservoir Basic,1203,3.40,5.89,,,Consolidation. tried to go slow.
2016-04-12,,234220,Upper Reservoir Park,1404,4.62,5.07,,,took easy.
2016-04-10,,340040,Greenlake out & around,1915,6.21,5.14,,,Solid start. Lost focus in back end. nice weather
2016-04-08,,143114,Reservoir Basic,1049,3.40,5.14,,,took it easy. stiff r leg.
2016-04-06,,143116,Greenlake 3k,1158,3.90,4.95,,,Consolidation. good start. r leg stiff.
2016-04-04,,143116,Greenlake 3k,,3.90,,,,"fast start, good effort. messed up timer."
2016-04-02,,143114,Reservoir Basic,1020,3.40,5.00,,,"good caf. took easy. Stiff R. hamstring
"
2016-03-29,,143116,Greenlake 3k,1145,3.90,4.89,,,low sleep. recovery from Chief
2016-03-25,,,,1185,,,,,"Nanaimo BC, vacation"
2016-03-21,,143114,Reservoir Basic,1022,3.40,5.01,,,lo-mo. wet.
2016-03-18,,143116,Greenlake 3k,1117,3.90,4.77,,,Strong. good start. nice weather
2016-03-15,,143116,Greenlake 3k,1222,3.90,5.22,,,"Consolidation, celebrate!
"
2016-03-13,,502559,StPatricksDayDash,1500,5.00,5.00,,,crowds new route. strong.  Official time 25:00 pace 8:04/mi
2016-03-11,,143114,Reservoir Basic,1040,3.40,5.10,,,"Consolidation. stiff legs. 
Took easy.
"
2016-03-08,,143116,Greenlake 3k,1117,3.90,4.77,,,strong start. felt strong.
2016-03-06,,234220,Upper Reservoir Park,1440,4.62,5.20,,,slow start. wet.
2016-03-04,,143116,Greenlake 3k,1101,3.90,4.70,,,"Strong, good V.O2"
2016-03-02,,242812,Greenlake out-and-back 5k,1441,4.90,4.90,,,Good effort. 
2016-02-29,,143116,Greenlake 3k,,3.90,,,,consolidation. left watch behind.
2016-02-27,,143114,Reservoir Basic,1043,3.40,5.11,,,"Blah, stiff legs."
2016-02-25,,143116,Greenlake 3k,1178,3.90,5.03,,,Slow start. sunny
2016-02-23,,143114,Reservoir Basic,982,3.40,4.81,,,10oz caff.  strong. sunny.
2016-02-20,,143116,Greenlake 3k,1119,3.90,4.78,,,12oz caff. felt strong.strong start.
2016-02-16,,143114,Reservoir Basic,1048,3.40,5.13,,,took it easy. very wet.
2016-02-12,,143114,Reservoir Basic,1033,3.40,5.06,,,"Slow start. no excuses.
"
2016-02-10,,143116,Greenlake 3k,1143,3.90,4.88,,,Slow start. low sleep. new ASICS shoes.
2016-02-08,,143114,Reservoir Basic,,3.40,,,,heavy legs. forgot watch.
2016-02-06,,234220,Upper Reservoir Park,1389,4.62,5.01,,,Blah
2016-02-04,,143114,Reservoir Basic,1007,3.40,4.93,,,"Blah, Slow start."
2016-02-02,,143116,Greenlake 3k,1155,3.90,4.94,,,"Meh, good finish
"
2016-01-31,,143117,Greenlake 5k,1495,5.01,4.97,,,Consolidation. felt good. pacer at start.
2016-01-29,,143116,Greenlake 3k,1153,3.90,4.93,,,"Strong start, anxious about falling!"
2016-01-25,,,,1087,,,,,Shenzhen Waterfront
2016-01-22,,143114,Reservoir Basic,993,3.40,4.87,,,sluggish but good effort.
2016-01-16,,,,1084,,,,,"Laguna Woods
"
2016-01-15,,143116,Greenlake 3k,1161,3.90,4.96,,,Consolidation. melow tunes.
2016-01-12,,143114,Reservoir Basic,1018,3.40,4.99,,,"Consolidation, scared of tripping!"
2016-01-07,,143116,Greenlake 3k,,3.90,,,,"Fell.  good caf, bad sleep."
2016-01-05,,143114,Reservoir Basic,1065,3.40,5.22,,,Consolidation. cold. low sleep.
2016-01-03,,143116,Greenlake 3k,1143,3.90,4.88,,,"Consolidation, mid-day, cold"
2016-01-01,,143114,Reservoir Basic,978,3.40,4.79,,,Noon. Felt strong.
2015-12-30,,143116,Greenlake 3k,1136,3.90,4.85,,,"long break, strong start."
2015-12-12,,143116,Greenlake 3k,1144,3.90,4.89,,,"hi caf, strong start, cold rainy"
2015-12-10,,481904,Short MTV 3k,873,3.04,4.79,163,,right leg stiff at start.
2015-12-08,,481904,Short MTV 3k,881,3.04,4.83,,,"start stiff legs, good push"
2015-12-06,,143114,Reservoir Basic,1033,3.40,5.06,,,"Consolidation, good caf"
2015-12-05,,143116,Greenlake 3k,1109,3.90,4.74,,,"Strong start, good caf."
2015-12-02,,389200,Los Altos2,983,3.36,4.88,165,,Stiff start. low sleep.
2015-11-28,,143114,Reservoir Basic,995,3.40,4.88,,,"1:00pm sunny cold, strong glide."
2015-11-26,,143116,Greenlake 3k,1116,3.90,4.77,,,"Decent, crisp clear weather. late morning.
"
2015-11-24,,143116,Greenlake 3k,1189,3.90,5.08,,,"Blah, rainy, low push."
2015-11-21,,143116,Greenlake 3k,1131,3.90,4.83,,,good pacer. good push.
2015-11-18,,274992,Pettis Loop2 (Mtn View),1009,3.51,4.79,164,,good caf. good cadence
2015-11-15,,143114,Reservoir Basic,1022,3.40,5.01,,,felt stiff start; JDI
2015-11-13,,457413,MTV Corrected 5k,,4.98,,162,,Did another to find keys! Fail!
2015-11-12,,457413,MTV Corrected 5k,,4.98,,,,"Consolidation: Fell!
"
2015-11-10,,274992,Pettis Loop2 (Mtn View),1033,3.51,4.91,,,"OK, Good 12min split (past 3rd dway)"
2015-11-07,,143116,Greenlake 3k,1130,3.90,4.83,,,Mid day. Rain. Strong Start.
2015-11-06,Bike,475834,Pettis to GLS,1020,6.26,2.71,,,"Bike Commute
"
2015-11-05,,389200,Los Altos2,974,3.36,4.83,,,"good sleep, good caff, good tunes"
2015-11-03,,457413,MTV Corrected 5k,1443,4.98,4.82,163,,"stiff start, decent effort"
2015-11-01,,143114,Reservoir Basic,1003,3.40,4.91,,,"decent, strong downhill"
2015-10-29,,274992,Pettis Loop2 (Mtn View),1029,3.51,4.89,,,"strong start, strong finish"
2015-10-27,,274992,Pettis Loop2 (Mtn View),1036,3.51,4.92,165,,"back from long break. decent effort, slow start."
2015-10-08,,389200,Los Altos2,1089,3.36,5.40,,,"Took it EASY, extended run."
2015-10-06,,389200,Los Altos2,999,3.36,4.96,,,Decent effort
2015-10-04,,,,1084,,,,,New Orleans Levee
